Interval between events (microseconds) - histogram count,Number of counts - histogram count
0.015625,0
0.046875,0
0.078125,0
0.109375,0
0.140625,0
0.171875,0
0.203125,0
0.234375,0
0.265625,0
0.296875,0
0.328125,0
0.359375,0
0.390625,0
0.421875,0
0.453125,0
0.484375,0
0.515625,0
0.546875,0
0.578125,0
0.609375,0
0.640625,0
0.671875,0
0.703125,0
0.734375,0
0.765625,0
0.796875,0
0.828125,0
0.859375,0
0.890625,0
0.921875,0
0.953125,0
0.984375,0
1.01563,0
1.04688,0
1.07813,0
1.10938,0
1.14063,0
1.17188,0
1.20313,0
1.23438,0
1.26563,0
1.29688,0
1.32813,2
1.35938,0
1.39063,0
1.42188,0
1.45313,0
1.48438,0
1.51563,0
1.54688,0
1.57813,3
1.60938,1
1.64063,5
1.67188,0
1.70313,2
1.73438,5
1.76563,3
1.79688,7
1.82813,4
1.85938,3
1.89063,1
1.92188,2
1.95313,2
1.98438,4
2.01563,2
2.04688,3
2.07813,5
2.10938,3
2.14063,3
2.17188,3
2.20313,1
2.23438,5
2.26563,4
2.29688,1
2.32813,3
2.35938,6
2.39063,3
2.42188,4
2.45313,6
2.48438,5
2.51563,4
2.54688,7
2.57813,5
2.60938,4
2.64063,7
2.67188,6
2.70313,5
2.73438,5
2.76563,3
2.79688,7
2.82813,5
2.85938,4
2.89063,8
2.92188,6
2.95313,4
2.98438,6
3.01563,6
3.04688,2
3.07813,5
3.10938,1
3.14063,3
3.17188,8
3.20313,7
3.23438,4
3.26563,4
3.29688,4
3.32813,2
3.35938,5
3.39063,2
3.42188,5
3.45313,3
3.48438,4
3.51563,7
3.54688,5
3.57813,5
3.60938,4
3.64063,6
3.67188,5
3.70313,4
3.73438,4
3.76563,2
3.79688,9
3.82813,3
3.85938,7
3.89063,3
3.92188,5
3.95313,4
3.98438,3
4.01563,3
4.04688,9
4.07813,3
4.10938,5
4.14063,7
4.17188,7
4.20313,4
4.23438,3
4.26563,6
4.29688,1
4.32813,3
4.35938,4
4.39063,4
4.42188,9
4.45313,8
4.48438,7
4.51563,5
4.54688,4
4.57813,8
4.60938,10
4.64063,0
4.67188,6
4.70313,2
4.73438,1
4.76563,3
4.79688,2
4.82813,8
4.85938,6
4.89063,5
4.92188,2
4.95313,3
4.98438,8
5.01563,1
5.04688,3
5.07813,5
5.10938,8
5.14063,6
5.17188,5
5.20313,7
5.23438,4
5.26563,4
5.29688,5
5.32813,4
5.35938,8
5.39063,2
5.42188,2
5.45313,7
5.48438,6
5.51563,3
5.54688,2
5.57813,2
5.60938,5
5.64063,3
5.67188,4
5.70313,5
5.73438,7
5.76563,5
5.79688,6
5.82813,4
5.85938,4
5.89063,3
5.92188,6
5.95313,5
5.98438,4
6.01563,5
6.04688,4
6.07813,11
6.10938,4
6.14063,3
6.17188,7
6.20313,5
6.23438,3
6.26563,3
6.29688,4
6.32813,4
6.35938,4
6.39063,3
6.42188,4
6.45313,2
6.48438,5
6.51563,7
6.54688,3
6.57813,2
6.60938,9
6.64063,4
6.67188,2
6.70313,2
6.73438,3
6.76563,4
6.79688,2
6.82813,5
6.85938,7
6.89063,5
6.92188,5
6.95313,4
6.98438,9
7.01563,6
7.04688,7
7.07813,7
7.10938,1
7.14063,1
7.17188,2
7.20313,8
7.23438,3
7.26563,6
7.29688,3
7.32813,5
7.35938,7
7.39063,4
7.42188,2
7.45313,3
7.48438,8
7.51563,2
7.54688,4
7.57813,5
7.60938,5
7.64063,5
7.67188,4
7.70313,5
7.73438,4
7.76563,2
7.79688,4
7.82813,4
7.85938,3
7.89063,6
7.92188,4
7.95313,1
7.98438,4
8.01563,6
8.04688,3
8.07813,0
8.10938,8
8.14063,2
8.17188,4
8.20313,3
8.23438,5
8.26563,7
8.29688,7
8.32813,2
8.35938,5
8.39063,0
8.42188,5
8.45313,3
8.48438,3
8.51563,4
8.54688,3
8.57813,4
8.60938,5
8.64063,4
8.67188,3
8.70313,4
8.73438,1
8.76563,4
8.79688,1
8.82813,7
8.85938,5
8.89063,5
8.92188,7
8.95313,4
8.98438,3
9.01563,4
9.04688,7
9.07813,2
9.10938,5
9.14063,5
9.17188,5
9.20313,5
9.23438,5
9.26563,4
9.29688,5
9.32813,4
9.35938,3
9.39063,9
9.42188,6
9.45313,2
9.48438,4
9.51563,6
9.54688,1
9.57813,4
9.60938,4
9.64063,1
9.67188,2
9.70313,1
9.73438,6
9.76563,6
9.79688,3
9.82813,8
9.85938,2
9.89063,5
9.92188,3
9.95313,2
9.98438,5
10.0156,5
10.0469,1
10.0781,1
10.1094,4
10.1406,8
10.1719,4
10.2031,4
10.2344,3
10.2656,2
10.2969,3
10.3281,3
10.3594,4
10.3906,4
10.4219,2
10.4531,6
10.4844,6
10.5156,5
10.5469,4
10.5781,6
10.6094,2
10.6406,6
10.6719,1
10.7031,6
10.7344,4
10.7656,2
10.7969,5
10.8281,4
10.8594,6
10.8906,2
10.9219,6
10.9531,1
10.9844,5
11.0156,3
11.0469,3
11.0781,3
11.1094,4
11.1406,5
11.1719,5
11.2031,0
11.2344,2
11.2656,2
11.2969,4
11.3281,4
11.3594,2
11.3906,5
11.4219,3
11.4531,5
11.4844,4
11.5156,4
11.5469,0
11.5781,3
11.6094,7
11.6406,1
11.6719,1
11.7031,9
11.7344,5
11.7656,2
11.7969,6
11.8281,1
11.8594,6
11.8906,5
11.9219,7
11.9531,7
11.9844,7
12.0156,2
12.0469,3
12.0781,3
12.1094,3
12.1406,2
12.1719,5
12.2031,4
12.2344,6
12.2656,3
12.2969,1
12.3281,5
12.3594,3
12.3906,4
12.4219,4
12.4531,4
12.4844,2
12.5156,2
12.5469,5
12.5781,4
12.6094,4
12.6406,3
12.6719,5
12.7031,2
12.7344,0
12.7656,1
12.7969,0
12.8281,5
12.8594,3
12.8906,4
12.9219,1
12.9531,4
12.9844,5
13.0156,4
13.0469,3
13.0781,2
13.1094,4
13.1406,1
13.1719,4
13.2031,4
13.2344,4
13.2656,3
13.2969,1
13.3281,4
13.3594,4
13.3906,4
13.4219,5
13.4531,4
13.4844,4
13.5156,5
13.5469,5
13.5781,5
13.6094,4
13.6406,2
13.6719,1
13.7031,5
13.7344,1
13.7656,4
13.7969,2
13.8281,4
13.8594,3
13.8906,3
13.9219,4
13.9531,1
13.9844,2
14.0156,6
14.0469,9
14.0781,3
14.1094,3
14.1406,2
14.1719,3
14.2031,3
14.2344,1
14.2656,1
14.2969,8
14.3281,3
14.3594,1
14.3906,2
14.4219,6
14.4531,3
14.4844,7
14.5156,3
14.5469,2
14.5781,0
14.6094,5
14.6406,0
14.6719,1
14.7031,3
14.7344,3
14.7656,3
14.7969,4
14.8281,3
14.8594,1
14.8906,2
14.9219,4
14.9531,3
14.9844,4
15.0156,2
15.0469,6
15.0781,1
15.1094,1
15.1406,2
15.1719,5
15.2031,4
15.2344,3
15.2656,4
15.2969,1
15.3281,9
15.3594,4
15.3906,4
15.4219,3
15.4531,3
15.4844,6
15.5156,2
15.5469,2
15.5781,4
